Liverpool,Chelsea,Bournemouth,Crystal Palace,Man City,Watford,Man Utd,Spurs,Everton,Wolves,Burnley,Southampton,Leicester,Newcastle,Arsenal,Brighton,Cardiff,Fulham,Huddersfield,West Ham
3,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0
6,6,6,3,6,6,3,6,4,1,1,1,3,1,0,3,1,0,0,0
9,9,7,3,7,9,3,9,5,2,1,1,6,1,3,3,2,3,1,0
12,12,7,3,10,12,6,9,6,5,1,4,6,1,6,4,2,4,2,0
15,15,10,6,13,12,9,9,6,8,1,5,6,1,9,5,2,4,2,3
18,16,10,7,16,13,10,12,6,9,4,5,9,2,12,5,2,5,2,4
19,17,13,7,19,13,10,15,9,12,7,5,12,2,15,5,2,5,2,7
20,20,16,7,20,13,13,18,12,15,8,5,12,2,18,8,2,5,3,7
23,21,17,7,23,16,14,21,15,15,8,6,12,2,21,11,5,5,3,7
26,24,20,8,26,19,17,21,15,15,8,7,13,3,22,14,5,5,3,8
27,27,20,8,29,19,20,24,18,15,8,7,16,6,23,14,5,5,6,11
30,28,20,8,32,20,20,27,19,16,9,8,17,9,24,14,8,5,7,12
33,28,20,9,35,20,21,30,22,16,9,8,18,12,27,15,8,8,10,12
36,31,20,12,38,20,22,30,22,16,9,9,21,12,30,18,11,8,10,15
39,31,23,12,41,20,23,33,23,19,9,9,22,13,31,21,11,9,10,18
42,34,23,12,41,21,26,36,24,22,12,9,22,13,34,21,14,9,10,21
45,37,23,15,44,24,26,39,24,25,12,12,22,16,34,21,14,9,10,24
48,37,26,18,44,27,29,42,24,25,12,15,25,17,37,21,14,10,10,24
51,40,26,19,44,27,32,45,27,26,12,15,28,17,38,22,15,11,10,27
54,43,26,19,47,28,35,45,27,29,15,15,28,18,38,25,18,14,10,27
54,44,27,22,50,29,38,48,27,29,18,16,31,18,41,26,18,14,10,28
57,47,27,22,53,32,41,48,30,29,21,19,31,18,41,26,19,14,11,31
60,47,30,22,56,33,44,51,30,32,22,22,31,21,44,26,19,14,11,31
61,47,33,23,56,33,45,54,33,35,23,23,32,24,47,26,19,17,11,31
62,50,33,26,62,34,48,57,33,38,24,24,32,24,47,27,22,17,11,32
65,50,33,27,65,37,51,60,33,39,27,24,32,25,50,27,25,17,11,33
66,50,34,30,65,40,52,60,33,40,30,24,32,28,53,27,25,17,11,36
69,53,34,30,68,40,55,60,36,40,30,27,35,31,56,27,25,17,14,36
70,56,34,33,71,43,58,61,37,43,30,27,35,31,57,30,25,17,14,39
73,57,37,33,74,43,58,61,37,44,30,30,38,34,60,33,28,17,14,39
76,57,38,33,74,43,58,61,40,44,30,30,41,35,60,33,28,17,14,42
79,63,38,36,80,46,61,64,43,47,33,33,44,35,63,33,28,17,14,42
82,66,38,39,80,46,61,64,46,47,36,33,47,35,63,33,28,17,14,42
85,66,41,39,83,46,64,67,46,47,39,36,47,38,66,33,31,20,14,42
88,67,41,42,89,50,64,70,49,51,40,37,48,41,66,34,31,23,14,43
91,68,42,43,92,50,65,70,50,54,40,38,51,42,66,35,31,26,14,46
94,71,45,46,95,50,66,70,53,57,40,38,51,42,67,36,31,26,15,49
97,72,45,49,98,50,66,71,54,57,40,39,52,45,70,36,34,26,16,52
